stationCode,stationName,stationType,latitude,longitude,agencyName,state,district,majorBasin,tributary,dataAcquisitionMode,stationStatus,tehsil,block,village,datatype_code,description,data_value,data_time,unit,well_type,well_depth,well_aquifer_type
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-29.12,2023-11-01 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-29.11,2023-11-01 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-29.09,2023-11-01 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-29.06,2023-11-01 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-29.04,2023-11-02 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-29.01,2023-11-02 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-29.0,2023-11-02 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.97,2023-11-02 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.95,2023-11-03 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.93,2023-11-03 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.91,2023-11-03 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.88,2023-11-03 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.85,2023-11-04 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.84,2023-11-04 06:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.82,2023-11-04 12:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.79,2023-11-04 18:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.78,2023-11-05 00:00:00,m,,,,58.0,Unconfined
CGWB1MP1ND093,Musakhedi(S)_1,Ground Water,22.7375,75.8833,CGWB,Madhya Pradesh,INDORE,,,Telemetric,Active,-,GGZ,GPRS-Water Level,-28.75,2023-11-05 06:00:00,m,,,,58.0,Unconfined
