Sl. No.,District,No of Wells Analysed,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of 0 to 2 Year - No.,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of 0 to 2 Year - %,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of 0 to 2 Year - No.,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of 0 to 2 Year - %,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of 5 Year to 10 Year - No.,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of 5 Year to 10 Year - %,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of 10 Year to 20 Year - No.,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of 10 Year to 20 Year - %,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of 20 Year to 40 Year - No.,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of 20 Year to 40 Year - %,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of > 40 Year - No.,No. of Percentage of Wells showing Depth to Water Level (mbgl) in the Range of > 40 Year - %
1,Amritsar,10,0,0,1,10,2,20,3,30,4,40,0,0
2,Barnala,5,0,0,0,0,0,0,0,0,2,40,3,60
3,Bathinda,25,0,0,1,4,4,16,10,40,10,40,0,0
4,Faridkot,18,1,5.6,7,38.9,1,5.6,7,38.9,2,11.1,0,0
5,Fatehgarh Sahib,12,1,8.3,0,0,0,0,2,16.7,9,75,0,0
6,Fazilka,17,6,35.3,8,47.1,2,11.8,1,5.9,0,0,0,0
7,Firozpur,12,1,8.3,5,41.7,2,16.7,3,25,1,8.3,0,0
8,Gurdaspur,21,1,4.8,8,38.1,4,19,7,33.3,1,4.8,0,0
9,Hoshiarpur,23,2,8.7,4,17.4,6,26.1,4,17.4,6,26.1,1,4.3
10,Jalandhar,13,0,0,0,0,3,23.1,3,23.1,7,53.8,0,0
11,Kapurthala,7,0,0,0,0,0,0,4,57.1,3,42.9,0,0
12,Ludhiana,14,3,21.4,1,7.1,1,7.1,6,42.9,3,21.4,0,0
13,Mansa,6,0,0,1,16.7,1,16.7,1,16.7,3,50,0,0
14,Moga,10,0,0,0,0,0,0,2,20,6,60,2,20
15,Muktsar,11,5,45.5,5,45.5,0,0,1,9.1,0,0,0,0
16,Pathankot,12,3,25,6,50,2,16.7,1,8.3,0,0,0,0
17,Patiala,18,4,22.2,0,0,0,0,0,0,9,50,5,27.8
18,Rupnagar,10,1,10,3,30,2,20,1,10,3,30,0,0
19,Sangrur,9,0,0,0,0,0,0,0,0,3,33.3,6,66.7
20,SAS Nagar,13,1,7.7,5,38.5,3,23.1,2,15.4,0,0,2,15.4
21,SBS Nagar,5,0,0,0,0,1,20,1,20,3,60,0,0
22,Taran Taran,12,0,0,0,0,0,0,6,50,6,50,0,0
Total,Total,283,29,10.2,55,19.4,34,12,65,23,81,28.6,19,6.7
